City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,utrik,11.2278,169.8474,28.66,80,100,9.11,MH,1694970083
83,angaur state,6.906,134.13,27.78,72,95,1.44,PW,1694970084
84,el fasher,13.6279,25.3494,33.9,17,40,3.65,SD,1694970048
85,wailua homesteads,22.0669,-159.378,25.44,83,40,6.69,US,1694970085
86,barkhan,29.8977,69.5256,28.51,49,76,1.38,PK,1694970085
87,nagqu,31.5,92.0,3.06,96,95,2.36,CN,1694970085
88,chibougamau,49.9168,-74.3659,18.79,63,75,5.14,CA,1694970087
89,gori,41.9842,44.1158,15.31,90,40,3.86,GE,1694970087
90,severo-yeniseyskiy,60.3725,93.0408,11.84,72,100,0.18,RU,1694970087
91,port elizabeth,-33.918,25.5701,14.62,67,10,1.79,ZA,1694970073
92,selfoss,63.9331,-20.9971,8.36,79,98,6.19,IS,1694970088
93,saudarkrokur,65.7461,-19.6394,8.92,76,94,3.15,IS,1694970088
94,chaiyaphum,15.75,102.0,23.98,98,100,0.94,TH,1694970088
95,olonkinbyen,70.9221,-8.7187,2.9,73,59,7.2,SJ,1694970088
96,ancud,-41.8697,-73.8203,7.7,72,67,1.33,CL,1694969885
97,huarmey,-10.0681,-78.1522,22.28,75,69,4.54,PE,1694970021
98,hermanus,-34.4187,19.2345,12.11,75,3,2.57,ZA,1694970091
99,ola,59.5833,151.2833,5.29,77,50,4.07,RU,1694970091
100,sergeyevka,53.88,67.4158,14.74,59,96,1.3,KZ,1694970091
101,college,64.8569,-147.8028,7.82,89,98,2.45,US,1694970092
102,susuman,62.7833,148.1667,-1.07,86,78,1.5,RU,1694970092
103,bethel,41.3712,-73.414,24.55,55,17,0.45,US,1694970092
104,alakurtti,66.9672,30.3491,5.38,89,89,2.41,RU,1694970092
105,yorkton,51.2167,-102.4677,22.4,30,3,6.67,CA,1694970093
106,niquelandia,-14.4739,-48.4597,35.73,23,22,2.97,BR,1694970093
107,bredasdorp,-34.5322,20.0403,10.6,79,18,3.16,ZA,1694970031
108,pisco,-13.7,-76.2167,20.57,76,45,4.05,PE,1694970094
109,labasa,-16.4167,179.3833,24.46,89,43,3.4,FJ,1694970094
110,holualoa,19.6228,-155.9522,22.65,80,74,2.24,US,1694970094
111,kolobrzeg,54.1757,15.5834,18.31,68,100,7.24,PL,1694969588
112,new norfolk,-42.7826,147.0587,8.84,88,62,2.03,AU,1694970097
113,dunedin,-45.8742,170.5036,11.0,50,35,3.58,NZ,1694970097
114,enewetak,11.3474,162.3373,28.88,79,93,6.94,MH,1694970098
115,palopo,-2.9996,120.1921,24.14,90,76,1.22,ID,1694970098
116,tsiombe,-25.3,45.4833,21.98,84,0,2.67,MG,1694970098
117,cadale,2.7603,46.3222,24.96,79,98,6.1,SO,1694970098
